,Epoch,Loss Type,Loss Value
0,0.003174603,D_loss,1.415
6151,0.003174603,G_loss,0.8994
1,0.006349206,D_loss,0.5847
6152,0.006349206,G_loss,1.8722
2,0.00952381,D_loss,0.3587
6153,0.00952381,G_loss,1.9038
3,0.012698413,D_loss,0.202
6154,0.012698413,G_loss,3.6371
4,0.015873016,D_loss,0.5117
6155,0.015873016,G_loss,2.7442
5,0.019047619,D_loss,1.1277
6156,0.019047619,G_loss,5.2465
6,0.022222222,D_loss,0.795
6157,0.022222222,G_loss,2.0217
7,0.025396825,D_loss,1.084
6158,0.025396825,G_loss,1.3478
8,0.028571429,D_loss,0.6378
6159,0.028571429,G_loss,1.5505
9,0.031746032,D_loss,0.8547
6160,0.031746032,G_loss,1.8044
10,0.034920635,D_loss,0.6587
6161,0.034920635,G_loss,1.3118
11,0.038095238,D_loss,0.3908
6162,0.038095238,G_loss,2.605
12,0.041269841,D_loss,0.3926
6163,0.041269841,G_loss,2.6788
13,0.044444444,D_loss,1.3191
6164,0.044444444,G_loss,1.182
14,0.047619048,D_loss,0.3394
6165,0.047619048,G_loss,2.6632
15,0.050793651,D_loss,0.4718
6166,0.050793651,G_loss,2.8481
16,0.053968254,D_loss,0.4331
6167,0.053968254,G_loss,2.2199
17,0.057142857,D_loss,0.3828
6168,0.057142857,G_loss,2.7771
18,0.06031746,D_loss,0.388
6169,0.06031746,G_loss,2.3768
19,0.063492063,D_loss,0.1746
6170,0.063492063,G_loss,3.2122
20,0.066666667,D_loss,0.4201
6171,0.066666667,G_loss,3.2428
21,0.06984127,D_loss,0.1215
6172,0.06984127,G_loss,3.2019
22,0.073015873,D_loss,0.3713
6173,0.073015873,G_loss,2.3528
23,0.076190476,D_loss,0.6761
6174,0.076190476,G_loss,3.6881
24,0.079365079,D_loss,0.5196
6175,0.079365079,G_loss,2.4252
25,0.082539683,D_loss,0.4625
6176,0.082539683,G_loss,2.7682
26,0.085714286,D_loss,0.4946
6177,0.085714286,G_loss,1.7375
27,0.088888889,D_loss,0.2965
6178,0.088888889,G_loss,2.9189
28,0.092063492,D_loss,0.5704
6179,0.092063492,G_loss,3.1979
29,0.095238095,D_loss,0.2767
6180,0.095238095,G_loss,3.315
30,0.098412698,D_loss,0.2697
6181,0.098412698,G_loss,2.8771
31,0.101587302,D_loss,2.545
6182,0.101587302,G_loss,4.4438
32,0.104761905,D_loss,0.1766
6183,0.104761905,G_loss,3.2544
33,0.107936508,D_loss,0.3163
6184,0.107936508,G_loss,2.6686
34,0.111111111,D_loss,0.5479
6185,0.111111111,G_loss,3.0842
35,0.114285714,D_loss,0.2128
6186,0.114285714,G_loss,3.4799
36,0.117460317,D_loss,0.3411
6187,0.117460317,G_loss,3.2698
37,0.120634921,D_loss,0.1506
6188,0.120634921,G_loss,3.3796
38,0.123809524,D_loss,0.4797
6189,0.123809524,G_loss,2.8476
39,0.126984127,D_loss,0.154
6190,0.126984127,G_loss,3.0723
40,0.13015873,D_loss,0.2394
6191,0.13015873,G_loss,3.3131
41,0.133333333,D_loss,0.1384
6192,0.133333333,G_loss,3.3887
42,0.136507937,D_loss,0.0921
6193,0.136507937,G_loss,3.5362
43,0.13968254,D_loss,0.041
6194,0.13968254,G_loss,4.0663
44,0.142857143,D_loss,0.0942
6195,0.142857143,G_loss,3.8658
45,0.146031746,D_loss,0.396
6196,0.146031746,G_loss,3.0886
46,0.149206349,D_loss,0.298
6197,0.149206349,G_loss,3.3497
47,0.152380952,D_loss,0.1251
6198,0.152380952,G_loss,3.3776
48,0.155555556,D_loss,1.4675
6199,0.155555556,G_loss,5.5805
49,0.158730159,D_loss,0.1161
6200,0.158730159,G_loss,3.2861
50,0.161904762,D_loss,0.0613
6201,0.161904762,G_loss,3.8829
51,0.165079365,D_loss,0.1662
6202,0.165079365,G_loss,3.5387
52,0.168253968,D_loss,0.5346
6203,0.168253968,G_loss,2.5758
53,0.171428571,D_loss,0.3888
6204,0.171428571,G_loss,3.112
54,0.174603175,D_loss,0.0829
6205,0.174603175,G_loss,4.0794
55,0.177777778,D_loss,0.0633
6206,0.177777778,G_loss,4.6783
56,0.180952381,D_loss,0.4153
6207,0.180952381,G_loss,2.745
